ObjectId	ISO2	ISO3	Indicator	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
270	EC	ECU	TOTAL			1	2		1		2		1			1	3	1			3			3	2	2	1			1		1	2	2	2	2	4		1	2			2	1	2	5
271	EC	ECU	Wildfire						1									1																		1										
272	EG	EGY	Extreme temperature																1	1				1															1							
273	EG	EGY	Flood												1			1	1	1	1					2								2										1	1	
274	EG	EGY	Storm								1										1							1						1					2	1						
275	EG	EGY	TOTAL								1				1			1	2	2	2			1		2		1						3					3	1				1	1	
276	SV	SLV	Drought			1												1				1			1								1					1				1				
277	SV	SLV	Extreme temperature																											1																
278	SV	SLV	Flood			1						1	1			1			1				1	1	1	1			2		1	2			1				1			1			1	
279	SV	SLV	Landslide									1					1																											1		
280	SV	SLV	Storm																	1	1	1		1		1			2		1		1	3					1		1			3		2
281	SV	SLV	TOTAL			2						2	1			1	1	1	1	1	1	2	1	2	2	2			4	1	2	2	2	3	1			1	2		1	2		4	1	2
282	ER	ERI	Drought														1						1									1														
283	ER	ERI	Flood																								1	1																		
284	ER	ERI	Storm														1																													
285	ER	ERI	TOTAL														2						1				1	1				1														
286	EE	EST	Extreme temperature																										1							1						1				
287	EE	EST	Storm																										1																	
288	EE	EST	TOTAL																										2							1						1				
289	SZ	SWZ	Drought		1			1						1											1						1									1			1			
290	SZ	SWZ	Flood																					1								1						1								
291	SZ	SWZ	Storm					1																					1	1															1	1
292	SZ	SWZ	TOTAL		1			2						1										1	1				1	1	2	1						1		1			1		1	1
293	SZ	SWZ	Wildfire																												1															
294	ET	ETH	Drought				1				1		1								1	1	1				1		1			1	1	1	1				1						1	1
295	ET	ETH	Flood		1				2			2		1			2	1	1	2	2		6	2	3	1	1		4	7	2	3		2	1		1		1	2			1	2	1	1
296	ET	ETH	Landslide															1						1																		2	1	2		
297	ET	ETH	TOTAL		1		1		2		1	2	1	1			2	2	1	2	3	1	7	4	3	1	2		5	7	2	4	1	3	2		1		2	2		2	2	4	2	2
298	ET	ETH	Wildfire																					1																						
